School_Name,Address,City,State,Zip,Phone,Latitude,Longitude,Website,Religious_Affiliation,School_Type,District_Name
Albertville Middle School,600 E Alabama Ave,Albertville,AL,35950,(256)878-2341,,,http://www.albertk12.org,,Public,Albertville City
Albertville High School,402 E McCord Ave,Albertville,AL,35950,(256)894-5000,,,http://www.albertk12.org,,Public,Albertville City
Albertville Intermediate School,901 W McKinney Ave,Albertville,AL,35950,(256)878-7698,,,http://www.albertk12.org,,Public,Albertville City
Albertville Elementary School,145 West End Drive,Albertville,AL,35950,(256)894-4822,,,http://www.albertk12.org,,Public,Albertville City
Albertville Kindergarten and PreK,257 Country Club Rd,Albertville,AL,35951,(256)878-7922,,,http://www.albertk12.org,,Public,Albertville City
Albertville Primary School,1100 Horton Rd,Albertville,AL,35950,(256)878-6611,,,http://www.albertk12.org,,Public,Albertville City
Kate Duncan Smith DAR Middle,6077 Main St,Grant,AL,35747,(256)728-5950,,,http://darmiddle.marshallk12.org/,,Public,Marshall County
Asbury High School,1990 Asbury Rd,Albertville,AL,35951,(256)878-4068,,,http://www.marshallk12.org,,Public,Marshall County
Claysville School,140 Claysville School Rd,Guntersville,AL,35976,(256)582-4444,,,http://www.marshallk12.org,,Public,Marshall County
Douglas Elementary School,PO Box 299,Douglas,AL,35964,(256)593-4420,,,http://www.marshallk12.org,,Public,Marshall County
Douglas High School,PO Box 300,Douglas,AL,35964,(256)593-2810,,,http://www.marshallk12.org,,Public,Marshall County
Brindlee Mountain Elementary School,2233 Shoal Creek Rd,Arab,AL,35016,(256)753-2246,,,http://www.marshallk12.org,,Public,Marshall County
Kate D Smith DAR High School,6077 Main St,Grant,AL,35747,(256)728-4238,,,http://www.marshallk12.org,,Public,Marshall County
Brindlee Mountain Primary School,1050 Scant City Road,Guntersville,AL,35976,(256)753-2532,,,http://www.marshallk12.org,,Public,Marshall County
Marshall Alternative School,12312 US Highway 431,Guntersville,AL,35976,(256)582-7554,,,http://marshallk12.org,,Public,Marshall County
Marshall Technical School,12312 US Highway 431,Guntersville,AL,35976,(256)582-5629,,,http://www.marshallk12.org,,Public,Marshall County
